team_name,region,gpm,dpm,kpg,dpg,wins
Gen.G eSports,KR,1974,2259,14.1,7.9,35
T1,KR,1884,2078,12.4,10.4,31
Liiv SANDBOX,KR,1832,2122,13.5,10.4,27
DWG KIA,KR,1807,2167,12.2,10,24
KT Rolster,KR,1817,2071,12.3,10.3,25
DRX,KR,1771,2095,11.8,12.4,22
Nongshim RedForce,KR,1722,1968,11,12.7,14
Kwangdong Freecs,KR,1689,1705,8.9,11.8,13
Fredit BRION,KR,1718,1715,8.6,12.2,11
Hanwha Life eSports,KR,1669,1700,7.5,13.7,12
Top Esports,CN,1906,2296,15.3,9.6,29
Victory Five,CN,1902,2408,16.1,11,28
JD Gaming,CN,1935,2442,16.9,11,30
Royal Never Give Up,CN,1899,2284,15.8,12,29
Edward Gaming,CN,1893,2309,14.4,10.1,25
Weibo Gaming,CN,1857,2290,12.9,11.8,23
LNG Esports,CN,1800,2136,13,12.6,20
OMG,CN,1798,2018,12,13.1,21
Funplus Phoenix,CN,1823,2139,12.2,13.1,19
Bilibili Gaming,CN,1816,2169,12,12.9,19
TT,CN,1802,1925,13,12.2,18
Anyone s Legend,CN,1769,2027,12.1,13.9,16
Invictus Gaming,CN,1793,1944,11.6,15,18
LGD Gaming,CN,1729,1936,11,14.4,15
Rare Atom,CN,1772,2015,10.3,14.8,14
Ultra Prime,CN,1708,2047,10.2,15.3,12
Team WE,CN,1692,1797,9.4,15.1,7
G2 Esports,EUW,1875,2291,16.2,11.6,12
MAD Lions,EUW,1844,2043,14.3,11,12
Rogue,EUW,1834,2238,12.7,11.4,11
Misfits Gaming,EUW,1798,2228,14,13.2,11
Excel Esports,EUW,1791,2066,12.3,12.2,10
Fnatic,EUW,1797,2236,11.9,13.2,10
Team Vitality,EUW,1790,2243,12.6,12.5,9
SK Gaming,EUW,1706,1800,9.8,12.6,7
Astralis,EUW,1756,2175,11.8,12.9,7
Team BDS,EUW,1618,1900,9.5,14.9,3
Evil Geniuses,NA,1877,2400,15.6,9.4,15
100 Thieves,NA,1846,2033,13.8,8.1,14
Team Liquid,NA,1876,2194,13.2,9.3,12
CLG,NA,1809,2282,12.6,13.1,11
Cloud9,NA,1849,2140,13.1,11.4,11
FlyQuest,NA,1769,1915,11.2,11.3,10
TSM,NA,1727,1929,9.9,13.2,6
Golden Guardians,NA,1709,1897,9.6,14.4,5
Immortals,NA,1649,1787,7.1,12.7,4
Dignitas,NA,1677,1654,8.3,11.9,3
PSG Talon,PCS,1883,2227,14.5,7.8,14
Deep Cross Gaming,PCS,1863,2110,13.9,9.7,14
CTBC Flying Oyster,PCS,1889,2057,11.3,8.9,13
J Team,PCS,1873,2073,14.9,10.7,13
Frank Esports,PCS,1842,2039,14.4,7.6,12
Beyond Gaming,PCS,1802,1949,12.9,10.3,11
Meta Falcon Team,PCS,1737,1896,10.2,14.6,6
Impunity,PCS,1685,1854,10,14.7,5
Dewish Team,PCS,1577,1615,5.8,15.2,2
SEM9,PCS,1597,1709,7.1,16.9,2
GAM Esports,VN,1967,2346,17.1,12.6,24
Team Secret,VN,1894,2373,16,14.1,22
Saigon Buffalo,VN,1908,2246,15.8,11.7,21
SBTC Esports,VN,1819,2186,14.2,14.1,22
Team Whales,VN,1854,2252,14.7,14.1,19
Cerberus Esports,VN,1853,2320,15.2,14.6,17
Genius Esports,VN,1774,2226,12.4,19.8,8
AS Esports,VN,1768,2068,12.5,18.5,6
